trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",30,20,-15.110031529682479,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.99, 'e': 0.9801}",20,0,-134.60772339874808,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.99, 'e': 0.970299}",20,0,-46.20368711646171,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.99, 'e': 0.96059601}",25,0,-51.35645913469353,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.99, 'e': 0.9509900498999999}",20,1,-8.40630164735886,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.99, 'e': 0.941480149401}",20,9,-13.070736027434656,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.99, 'e': 0.9320653479069899}",20,0,-98.64190217762793,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.99, 'e': 0.9227446944279201}",30,0,-106.26107937315949,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.99, 'e': 0.9135172474836408}",30,0,-153.17726534995882,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.99, 'e': 0.9043820750088044}",25,0,-123.73029027150503,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
11,False,"{'a': 0.99, 'e': 0.8953382542587164}",20,0,-87.55876764818771,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.99, 'e': 0.8863848717161292}",30,0,-115.07830585669323,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.99, 'e': 0.8775210229989678}",25,0,-168.72620644786446,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.99, 'e': 0.8687458127689782}",30,0,-83.84490986767537,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.99, 'e': 0.8600583546412884}",20,0,-36.02620855458273,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.99, 'e': 0.8514577710948755}",20,0,-14.689013664217553,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.99, 'e': 0.8429431933839268}",30,6,-56.30688406728886,"{0: 18, 1: 4, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.99, 'e': 0.8345137614500875}",25,0,-167.97384125747536,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
19,False,"{'a': 0.99, 'e': 0.8261686238355866}",20,7,-58.24961295610226,"{0: 7, 1: 2, 2: 2, 3: 2, 4: 0}",1
20,False,"{'a': 0.99, 'e': 0.8179069375972308}",20,0,-191.78258458589912,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 4}",0
21,False,"{'a': 0.99, 'e': 0.8097278682212584}",20,0,-101.13065667751432,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.99, 'e': 0.8016305895390459}",20,0,-108.76441884647855,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
23,False,"{'a': 0.99, 'e': 0.7936142836436554}",30,14,-44.26751472019599,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 0}",1
24,False,"{'a': 0.99, 'e': 0.7856781408072188}",25,0,-116.2623396592983,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
25,False,"{'a': 0.99, 'e': 0.7778213593991467}",20,0,-54.00821788865982,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
26,False,"{'a': 0.99, 'e': 0.7700431458051551}",30,0,-123.14978351818506,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
27,False,"{'a': 0.99, 'e': 0.7623427143471035}",25,0,-143.87174079851795,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
28,False,"{'a': 0.99, 'e': 0.7547192872036325}",35,5,-99.79584033146931,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",1
