trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,7,-109.31613281020623,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.89145480357845,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.5446967111807,"{0: 18, 1: 3, 2: 3, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.0724913665212,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.24560614424271,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.264048283349,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-173.57085852114213,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-242.28038112964165,"{0: 18, 1: 3, 2: 7, 3: 5, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,4,-89.14866515686553,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.41452219526289,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.48358338485824,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-139.21700651502306,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,16,-25.152516291388256,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.0241627818011,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.62255033265964,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
